,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
136,305 To My City,Drake,Nothing Was The Same (Deluxe),0.519,0.487,4,-8.803,0,0.242,0.0515,0.0,0.15,0.126,112.281
137,Too Much,Drake,Nothing Was The Same (Deluxe),0.668,0.565,6,-5.879,1,0.505,0.171,0.0,0.124,0.142,140.489
138,Pound Cake / Paris Morton Music 2,Drake,Nothing Was The Same (Deluxe),0.521,0.762,2,-6.746,1,0.529,0.138,1.11e-05,0.114,0.266,164.09
139,Come Thru,Drake,Nothing Was The Same (Deluxe),0.472,0.468,3,-5.815,1,0.184,0.163,0.0,0.586,0.404,81.94
140,All Me,Drake,Nothing Was The Same (Deluxe),0.668,0.515,1,-6.977,1,0.402,0.0703,0.0,0.223,0.425,122.014
141,The Motion,Drake,Nothing Was The Same (Deluxe),0.676,0.717,11,-8.219,0,0.0874,0.29,0.000368,0.0974,0.558,157.628
142,Over My Dead Body,Drake,Take Care (Deluxe),0.489,0.57,1,-10.291,1,0.306,0.759,2.1e-06,0.179,0.584,185.516
143,Shot For Me,Drake,Take Care (Deluxe),0.566,0.465,2,-11.714,1,0.235,0.0555,0.0,0.567,0.177,143.015
144,Headlines,Drake,Take Care (Deluxe),0.636,0.566,6,-7.16,0,0.106,0.365,0.000353,0.0917,0.425,151.894
145,Crew Love,Drake,Take Care (Deluxe),0.418,0.546,0,-9.057,0,0.238,0.227,0.0,0.229,0.294,160.152
146,Take Care,Drake,Take Care (Deluxe),0.629,0.515,0,-10.358,0,0.265,0.0267,1.22e-05,0.0888,0.299,121.845
147,Marvins Room,Drake,Take Care (Deluxe),0.492,0.26,9,-17.341,0,0.0921,0.646,0.00178,0.0705,0.312,111.519
148,Buried Alive Interlude,Drake,Take Care (Deluxe),0.711,0.543,0,-12.692,1,0.112,0.412,0.0,0.505,0.801,102.01
149,Under Ground Kings,Drake,Take Care (Deluxe),0.487,0.712,8,-7.323,1,0.27,5.2e-05,0.0,0.198,0.397,156.209
150,We'll Be Fine,Drake,Take Care (Deluxe),0.386,0.488,1,-7.303,0,0.422,0.00171,0.0,0.64,0.217,193.397
151,Make Me Proud,Drake,Take Care (Deluxe),0.684,0.486,1,-10.155,1,0.132,0.00268,0.000148,0.157,0.355,131.913
152,Lord Knows,Drake,Take Care (Deluxe),0.417,0.887,5,-5.551,0,0.367,0.0786,0.0,0.834,0.303,167.579
153,Cameras / Good Ones Go Interlude - Medley,Drake,Take Care (Deluxe),0.441,0.403,2,-11.18,0,0.147,0.255,1.27e-05,0.13,0.158,139.92
154,Doing It Wrong,Drake,Take Care (Deluxe),0.397,0.172,6,-15.698,0,0.0445,0.841,6.78e-05,0.108,0.123,101.275
155,The Real Her,Drake,Take Care (Deluxe),0.567,0.309,8,-14.254,1,0.385,0.166,0.0,0.12,0.509,65.041
156,Look What You've Done,Drake,Take Care (Deluxe),0.495,0.351,3,-14.669,0,0.34,0.485,0.0,0.0967,0.271,134.369
157,HYFR (Hell Ya Fucking Right),Drake,Take Care (Deluxe),0.444,0.627,7,-8.744,0,0.252,0.123,0.0,0.0795,0.359,98.21
158,Practice,Drake,Take Care (Deluxe),0.446,0.239,1,-15.327,1,0.0876,0.574,7.76e-05,0.12,0.31,104.675
159,The Ride,Drake,Take Care (Deluxe),0.556,0.702,0,-10.079,0,0.205,0.517,0.0,0.343,0.793,155.948
160,The Motto,Drake,Take Care (Deluxe),0.766,0.442,1,-8.558,1,0.356,0.000107,6.12e-05,0.111,0.39,201.8
161,Fireworks,Drake,Thank Me Later (Int'l Version),0.56,0.758,0,-6.472,1,0.345,0.428,0.0,0.162,0.521,90.52
